scene_title,topic_title,category,text,meaning,difficulty,description,examples_json
基础①·自我介绍,我是谁,I am,Hello! I am Li Ming.,你好！我是李明。,L1,自我介绍标准开场。替换槽位：名字。,"[{""en"":""Hello! I am Tom."",""zh"":""你好！我是汤姆。""}]"
基础①·自我介绍,我是谁,I am,I am a student.,我是一名学生。,L1,说明身份。替换槽位：职业/身份。,"[{""en"":""I am a teacher."",""zh"":""我是一名老师。""}]"
基础①·自我介绍,我是谁,I am,I am from China.,我来自中国。,L1,说明国籍/来源地。替换槽位：国家/城市。,"[{""en"":""I am from Japan."",""zh"":""我来自日本。""}]"
基础①·自我介绍,我是谁,I am,I am 20 years old.,我 20 岁。,L1,说明年龄。替换槽位：数字。,"[{""en"":""I am 25 years old."",""zh"":""我 25 岁。""}]"
基础①·自我介绍,我是谁,I am,I am very happy to meet you.,我很高兴认识你。,L1,表达感受。替换槽位：形容词(happy/glad/excited)。,"[{""en"":""I am glad to meet you."",""zh"":""我很高兴认识你。""}]"
基础①·自我介绍,我是谁,否定句,I am not a teacher. I am a student.,我不是老师。我是学生。,L1,否定+纠正。替换槽位：两个相反身份。,"[{""en"":""I am not a doctor. I am a nurse."",""zh"":""我不是医生。我是护士。""}]"
基础①·自我介绍,我是谁,疑问句,Am I late? No, you are not late.,我迟到了吗？不，你没迟到。,L1,疑问+否定回答。替换槽位：形容词(right/ready/welcome)。,"[{""en"":""Am I right? Yes, you are right."",""zh"":""我对了吗？是的，你对了。""}]"
基础①·自我介绍,你是谁,You are,You are very kind.,你很善良。,L1,赞美对方。替换槽位：形容词(smart/funny/helpful/beautiful)。,"[{""en"":""You are very smart."",""zh"":""你很聪明。""}]"
基础①·自我介绍,你是谁,You are,You are right.,你是对的。,L1,表示同意。替换槽位：形容词(right/wrong/correct/welcome)。,"[{""en"":""You are welcome."",""zh"":""不客气。""}]"
基础①·自我介绍,你是谁,疑问句,Are you a student? Yes, I am.,你是学生吗？是的。,L1,Yes/No疑问句。替换槽位：身份名词。,"[{""en"":""Are you a teacher? No, I am not."",""zh"":""你是老师吗？不，我不是。""}]"
基础①·自我介绍,你是谁,否定句,You are not alone. I am here.,你不是一个人。我在这里。,L1,否定+安慰。替换槽位：形容词(late/wrong/alone)。,"[{""en"":""You are not late. We are on time."",""zh"":""你没迟到。我们准时。""}]"
