scene_title,topic_title,word,meaning,part_of_speech,phonetic_us,phonetic_uk,difficulty,description,examples_json,sort_order
"副词·频率副词",频率副词,always,总是,adverb,/ˈɔːlweɪz/,/ˈɔːlweɪz/,L1,100%频率。,"[{""en"":""I always brush my teeth before bed."",""zh"":""我睡前总是刷牙。""}]",0
"副词·频率副词",频率副词,usually,通常,adverb,/ˈjuːʒuəli/,/ˈjuːʒuəli/,L1,80%频率。,"[{""en"":""I usually have breakfast at 8."",""zh"":""我通常8点吃早餐。""}]",1
"副词·频率副词",频率副词,often,经常,adverb,/ˈɔːfən/,/ˈɒfən/,L1,60%频率。,"[{""en"":""I often read before bed."",""zh"":""我经常睡前看书。""}]",2
"副词·频率副词",频率副词,sometimes,有时,adverb,/ˈsʌmtaɪmz/,/ˈsʌmtaɪmz/,L1,40%频率。,"[{""en"":""Sometimes I go jogging."",""zh"":""我有时去慢跑。""}]",3
"副词·频率副词",频率副词,never,从不,adverb,/ˈnevər/,/ˈnevə/,L1,0%频率。,"[{""en"":""I never smoke."",""zh"":""我从不抽烟。""}]",4
"副词·频率副词",频率副词,habit,习惯,noun,/ˈhæbɪt/,/ˈhæbɪt/,L2,习惯性的行为。,"[{""en"":""I want to develop a good habit."",""zh"":""我想养成一个好习惯。""}]",5
"副词·频率副词",频率副词,discipline,自律,noun,/ˈdɪsəplɪn/,/ˈdɪsɪplɪn/,L2,自我约束的能力。,"[{""en"":""I admire your discipline."",""zh"":""我佩服你的自律。""}]",6
"副词·频率副词",频率副词,relax,放松,verb,/rɪˈlæks/,/rɪˈlæks/,L1,放松身心。,"[{""en"":""Reading helps me relax."",""zh"":""阅读帮助我放松。""}]",7
"副词·频率副词",频率副词,skip,跳过/不做,verb,/skɪp/,/skɪp/,L2,故意不做某事。,"[{""en"":""I never skip breakfast."",""zh"":""我从不跳过早餐。""}]",8
"副词·程度副词",程度副词,very,非常,adverb,/ˈveri/,/ˈveri/,L1,最高程度。修饰形容词或副词。,"[{""en"":""She is very smart."",""zh"":""她非常聪明。""}]",0
"副词·程度副词",程度副词,quite,相当,adverb,/kwaɪt/,/kwaɪt/,L1,较强程度。比very弱。,"[{""en"":""The movie is quite good."",""zh"":""这部电影相当不错。""}]",1
"副词·程度副词",程度副词,rather,颇/相当,adverb,/ˈræðər/,/ˈrɑːðə/,L2,中等偏上程度。,"[{""en"":""It's rather cold today."",""zh"":""今天挺冷的。""}]",2
"副词·程度副词",程度副词,extremely,极其,adverb,/ɪkˈstriːmli/,/ɪkˈstriːmli/,L2,最高程度。,"[{""en"":""That's extremely kind of you."",""zh"":""你真是太善良了。""}]",3
