scene_title,topic_title,word,meaning,part_of_speech,phonetic_us,phonetic_uk,difficulty,description,examples_json,sort_order
过去的状态,我以前是/有,was,是(过去式),v.,,,L1,,[],0
过去的状态,我以前是/有,were,是(过去式),v.,,,L1,,[],1
过去的状态,我以前是/有,wasn't,不是(过去式),v.,,,L1,,[],2
过去的状态,我以前是/有,weren't,不是(过去式),v.,,,L1,,[],3
过去的状态,我以前是/有,previously,以前,adv.,,,L1,,[],4
过去的状态,我以前是/有,formerly,从前,adv.,,,L1,,[],5
过去的状态,我以前是/有,originally,最初,adv.,,,L1,,[],6
过去的状态,我以前是/有,initially,起初,adv.,,,L1,,[],7
过去的状态,我以前是/有,thereafter,此后,adv.,,,L1,,[],8
过去的状态,我以前是/有,henceforth,从此,adv.,,,L1,,[],9
过去的状态,昨天在哪里,the day before,前一天,n.,,,L1,,[],10
过去的状态,昨天在哪里,the week before,前一周,n.,,,L1,,[],11
过去的状态,昨天在哪里,the month before,前一月,n.,,,L1,,[],12
过去的状态,昨天在哪里,the year before,前一年,n.,,,L1,,[],13
过去的状态,昨天在哪里,earlier that day,那天早些时候,adv.,,,L1,,[],14
过去的状态,昨天在哪里,that morning,那天早上,n.,,,L1,,[],15
过去的状态,昨天在哪里,that afternoon,那天下午,n.,,,L1,,[],16
过去的状态,昨天在哪里,that evening,那天晚上,n.,,,L1,,[],17
过去的状态,昨天在哪里,that night,那天夜里,n.,,,L1,,[],18
过去的状态,昨天在哪里,the previous,之前的,adj.,,,L1,,[],19
过去的状态,过去的感受,bored,无聊的,adj.,,,L1,,[],20
过去的状态,过去的感受,excited,兴奋的,adj.,,,L1,,[],21
过去的状态,过去的感受,scared,害怕的,adj.,,,L1,,[],22
过去的状态,过去的感受,satisfied,满意的,adj.,,,L1,,[],23
过去的状态,过去的感受,disappointed,失望的,adj.,,,L1,,[],24
过去的状态,过去的感受,shocked,震惊的,adj.,,,L1,,[],25
过去的状态,过去的感受,embarrassed,尴尬的,adj.,,,L1,,[],26
过去的状态,过去的感受,amused,被逗乐的,adj.,,,L1,,[],27
过去的状态,过去的感受,annoyed,恼怒的,adj.,,,L1,,[],28
过去的状态,过去的感受,puzzled,困惑的,adj.,,,L1,,[],29
过去的状态,过去的外表,skinny,极瘦的,adj.,,,L1,,[],30
过去的状态,过去的外表,chubby,圆胖的,adj.,,,L1,,[],31
过去的状态,过去的外表,muscular,肌肉发达的,adj.,,,L1,,[],32
过去的状态,过去的外表,bald,秃头的,adj.,,,L1,,[],33
过去的状态,过去的外表,curly,卷曲的,adj.,,,L1,,[],34
过去的状态,过去的外表,blonde,金发的,adj.,,,L1,,[],35
过去的状态,过去的外表,brunette,深褐色头发的,adj.,,,L1,,[],36
过去的状态,过去的外表,freckled,有雀斑的,adj.,,,L1,,[],37
过去的状态,过去的外表,wrinkled,有皱纹的,adj.,,,L1,,[],38
过去的状态,过去的外表,tanned,晒黑的,adj.,,,L1,,[],39
过去的状态,过去的天气和日子,stormy,暴风雨的,adj.,,,L1,,[],40
过去的状态,过去的天气和日子,humid,潮湿的,adj.,,,L1,,[],41
过去的状态,过去的天气和日子,dry,干燥的,adj.,,,L1,,[],42
过去的状态,过去的天气和日子,breezy,微风的,adj.,,,L1,,[],43
过去的状态,过去的天气和日子,mild,温和的,adj.,,,L1,,[],44
过去的状态,过去的天气和日子,pleasant,宜人的,adj.,,,L1,,[],45
过去的状态,过去的天气和日子,miserable,糟糕的,adj.,,,L1,,[],46
过去的状态,过去的天气和日子,gloomy,阴沉的,adj.,,,L1,,[],47
过去的状态,过去的天气和日子,chilly,寒冷的,adj.,,,L1,,[],48
过去的状态,过去的天气和日子,damp,潮湿的,adj.,,,L1,,[],49
过去的动作,昨天做了什么,went,去(过去式),v.,,,L1,,[],50
过去的动作,昨天做了什么,ate,吃(过去式),v.,,,L1,,[],51
过去的动作,昨天做了什么,had,有(过去式),v.,,,L1,,[],52
过去的动作,昨天做了什么,saw,看见(过去式),v.,,,L1,,[],53
过去的动作,昨天做了什么,said,说(过去式),v.,,,L1,,[],54
过去的动作,昨天做了什么,got,得到(过去式),v.,,,L1,,[],55
过去的动作,昨天做了什么,took,拿(过去式),v.,,,L1,,[],56
过去的动作,昨天做了什么,came,来(过去式),v.,,,L1,,[],57
过去的动作,昨天做了什么,gave,给(过去式),v.,,,L1,,[],58
过去的动作,昨天做了什么,drank,喝(过去式),v.,,,L1,,[],59
过去的动作,不规则动词专项,knew,知道(过去式),v.,,,L1,,[],60
过去的动作,不规则动词专项,thought,想(过去式),v.,,,L1,,[],61
过去的动作,不规则动词专项,told,告诉(过去式),v.,,,L1,,[],62
过去的动作,不规则动词专项,found,找到(过去式),v.,,,L1,,[],63
过去的动作,不规则动词专项,left,离开(过去式),v.,,,L1,,[],64
过去的动作,不规则动词专项,felt,感觉(过去式),v.,,,L1,,[],65
过去的动作,不规则动词专项,sat,坐(过去式),v.,,,L1,,[],66
过去的动作,不规则动词专项,stood,站(过去式),v.,,,L1,,[],67
过去的动作,不规则动词专项,ran,跑(过去式),v.,,,L1,,[],68
过去的动作,不规则动词专项,wrote,写(过去式),v.,,,L1,,[],69
过去的动作,规则动词 -ed,worked,工作(过去式),v.,,,L1,,[],70
过去的动作,规则动词 -ed,watched,看(过去式),v.,,,L1,,[],71
过去的动作,规则动词 -ed,cooked,烹饪(过去式),v.,,,L1,,[],72
过去的动作,规则动词 -ed,helped,帮助(过去式),v.,,,L1,,[],73
过去的动作,规则动词 -ed,walked,走(过去式),v.,,,L1,,[],74
过去的动作,规则动词 -ed,talked,说话(过去式),v.,,,L1,,[],75
过去的动作,规则动词 -ed,liked,喜欢(过去式),v.,,,L1,,[],76
过去的动作,规则动词 -ed,finished,完成(过去式),v.,,,L1,,[],77
过去的动作,规则动词 -ed,washed,洗(过去式),v.,,,L1,,[],78
过去的动作,规则动词 -ed,brushed,刷(过去式),v.,,,L1,,[],79
过去的动作,过去的时间表达,the day before yesterday,前天,n.,,,L1,,[],80
过去的动作,过去的时间表达,a while ago,一阵子前,adv.,,,L1,,[],81
过去的动作,过去的时间表达,a decade ago,十年前,adv.,,,L1,,[],82
过去的动作,过去的时间表达,centuries ago,几个世纪前,adv.,,,L1,,[],83
过去的动作,过去的时间表达,ages ago,很久以前,adv.,,,L1,,[],84
过去的动作,过去的时间表达,back then,那时候,adv.,,,L1,,[],85
过去的动作,过去的时间表达,in those days,在那些日子里,adv.,,,L1,,[],86
过去的动作,过去的时间表达,at that time,那时,adv.,,,L1,,[],87
过去的动作,过去的时间表达,in the past,在过去,adv.,,,L1,,[],88
过去的动作,过去的时间表达,long ago,很久以前,adv.,,,L1,,[],89
过去的动作,过去频率,whenever,每当,conj.,,,L1,,[],90
过去的动作,过去频率,each time,每次,adv.,,,L1,,[],91
过去的动作,过去频率,every time,每次,adv.,,,L1,,[],92
过去的动作,过去频率,most days,大多数日子,adv.,,,L1,,[],93
过去的动作,过去频率,all the time,一直,adv.,,,L1,,[],94
过去的动作,过去频率,from time to time,不时,adv.,,,L1,,[],95
过去的动作,过去频率,now and then,偶尔,adv.,,,L1,,[],96
过去的动作,过去频率,once in a while,偶尔,adv.,,,L1,,[],97
过去的动作,过去频率,back in the day,当年,adv.,,,L1,,[],98
过去的动作,过去频率,way back,很久以前,adv.,,,L1,,[],99
讲述经历,上个周末/去年,visited,拜访(过去式),v.,,,L1,,[],100
讲述经历,上个周末/去年,stayed,停留(过去式),v.,,,L1,,[],101
讲述经历,上个周末/去年,cleaned,打扫(过去式),v.,,,L1,,[],102
讲述经历,上个周末/去年,traveled,旅行(过去式),v.,,,L1,,[],103
讲述经历,上个周末/去年,moved,搬家(过去式),v.,,,L1,,[],104
讲述经历,上个周末/去年,started,开始(过去式),v.,,,L1,,[],105
讲述经历,上个周末/去年,learned,学习(过去式),v.,,,L1,,[],106
讲述经历,上个周末/去年,drove,开车(过去式),v.,,,L1,,[],107
讲述经历,上个周末/去年,flew,飞(过去式),v.,,,L1,,[],108
讲述经历,上个周末/去年,skied,滑雪(过去式),v.,,,L1,,[],109
讲述经历,ago 表达,ago,以前,adv.,,,L1,,[],110
讲述经历,ago 表达,earlier,更早,adv.,,,L1,,[],111
讲述经历,ago 表达,shortly,不久,adv.,,,L1,,[],112
讲述经历,ago 表达,promptly,迅速地,adv.,,,L1,,[],113
讲述经历,ago 表达,swiftly,飞快地,adv.,,,L1,,[],114
讲述经历,ago 表达,rapidly,快速地,adv.,,,L1,,[],115
讲述经历,ago 表达,momentarily,片刻地,adv.,,,L1,,[],116
讲述经历,ago 表达,unexpectedly,意外地,adv.,,,L1,,[],117
讲述经历,ago 表达,raised,抚养(过去式),v.,,,L1,,[],118
讲述经历,ago 表达,grew up,长大,v.,,,L1,,[],119
讲述经历,某年某事,attended,参加(过去式),v.,,,L1,,[],120
讲述经历,某年某事,joined,加入(过去式),v.,,,L1,,[],121
讲述经历,某年某事,retired,退休(过去式),v.,,,L1,,[],122
讲述经历,某年某事,resigned,辞职(过去式),v.,,,L1,,[],123
讲述经历,某年某事,promoted,晋升(过去式),v.,,,L1,,[],124
讲述经历,某年某事,transferred,调转(过去式),v.,,,L1,,[],125
讲述经历,某年某事,enrolled,注册(过去式),v.,,,L1,,[],126
讲述经历,某年某事,enlisted,入伍(过去式),v.,,,L1,,[],127
讲述经历,某年某事,didn't,没(过去否定),aux.,,,L1,,[],128
讲述经历,某年某事,nowhere,无处,adv.,,,L1,,[],129
讲述经历,否定句 didn't,none,没有一个,pron.,,,L1,,[],130
讲述经历,否定句 didn't,whatsoever,无论什么,adv.,,,L1,,[],131
讲述经历,否定句 didn't,nope,不,interj.,,,L1,,[],132
讲述经历,否定句 didn't,nah,不,interj.,,,L1,,[],133
讲述经历,否定句 didn't,negative,否定的,adj.,,,L1,,[],134
讲述经历,否定句 didn't,zero,零,num.,,,L1,,[],135
讲述经历,否定句 didn't,zilch,零,n.,,,L1,,[],136
讲述经历,否定句 didn't,nil,零,n.,,,L1,,[],137
讲述经历,否定句 didn't,did,做(过去式),aux./v.,,,L1,,[],138
讲述经历,否定句 didn't,whose,谁的,pron.,,,L1,,[],139
讲述经历,疑问句 Did,whom,谁(宾格),pron.,,,L1,,[],140
讲述经历,疑问句 Did,howcome,为什么,adv.,,,L1,,[],141
讲述经历,疑问句 Did,whatfor,为何,adv.,,,L1,,[],142
讲述经历,疑问句 Did,whereto,去哪里,adv.,,,L1,,[],143
讲述经历,疑问句 Did,whyever,究竟为什么,adv.,,,L1,,[],144
讲述经历,疑问句 Did,wherever,无论哪里,adv.,,,L1,,[],145
讲述经历,疑问句 Did,whatever,无论什么,pron.,,,L1,,[],146
讲述经历,疑问句 Did,however,然而,adv.,,,L1,,[],147
